Title,Director,Cast,Genre,Notes/Music,Year,Notes,Music,Rank
Aadhi Raat,S.K. Ojha,"Ashok Kumar, Nargis, Kuldip Kaur, Cukoo, Jeevan, Neeaalam, Tiwari",Social Drama,"Singers: Geeta Dutt, Meena Kapoor, Lata Mangeshkar, Mohammed Rafi. Music: Husnlal Bhagatram, Hansraj Behl Lyrics: Sarshar Sailani, Rajendra Krishan, Asad Bhopali",1950,,,
Aahuti,Kulbhushan,"Mumtaz Shanti, Shyama, Sapru, Ranjit, Kumari, Kesari, Cuckoo",Social,"Music: D. C. Dutta Lyrics: Indeevar, Tandon",1950,,,
Aankhen,Devendra Goel,"Bharat Bhushan, Nalini Jaywant, Yakub, Shekhar, Jeevan, Yashodhara Katju",Family Drama,"Music: Madan Mohan Lyrics: Raja Mehdi Ali Khan, Bharat Vyas, Saraswati Kumar Deepak",1950,,,
Achchaji,S. H. Tharani,"Bhagwan, Leela Gupte, Cuckoo, Baburao, Naaz, Usha Shukla, Habib",Action Comedy,Music: S. B. Pathak Lyrics:,1950,,,
Aflatoon,Jaswant Jhaveri,"Bhagwan, Usha, Lila Gupta, Baburao Pendharkar, Vasantrao Pehalwan",Action,"Music: Ninu Mujumdar Lyrics: Indeevar, Buniyaad",1950,,,
Afsar,Chetan Anand,"Dev Anand, Suraiya, Rashid Khan, Zohra Sehgal, Manmohan Krishan, Kanhaiya Lal, Ruma Devi",Romantic comedy,"Music: S. D. Burman Lyrics: Narendra Sharma, Vishwamitra Adil Playback: Suraiya",1950,,,
Alakh Niranjan,Gunjal,"Nirupa Roy, Trilok Kapoor, Durga Khote, Sapru, Aroon, Ulhas",Devotional,Music: Premnath Lyrics: Manohar Khanna,1950,,,
Anmol Ratan,M. Sadiq,"Meena Kumari, Karan Dewan, Madan Puri, Gope, Nirmala",Romance Drama,Music: Vinod Lyrics: D. N. Madhok,1950,,,
Arzoo,Shaheed Latif,"Dilip Kumar, Kamini Kaushal and Shashikala, Gope, Cuckoo, Sita Bose",Romantic Drama,Music: Anil Biswas Lyrics: Majrooh Sultanpuri,1950,,,
Babooji,Bhagwan,"Bhagwan, Munawwar Sultana, Leela Gupte, Amar, A. Shah, Jankidas",Action,Music: P. Ramakant Lyrics: Ehsan Rizvi,1950,,,
Babul,S. U. Sunny,"Dilip Kumar, Nargis, Munawwar Sultana, Tun Tun, Amar, A. Shah, Jankidas",Drama,Music: Naushad Lyrics: Shakeel Badayuni,1950,,,
Bahurani,S. M. Yusuf,"Shekhar, Sulochana Chatteree, Kaushalya, Amar, Gope, Lalita Pawar, David, Yashodhara Katju, N. A. Ansari",Family Drama,"Music: Hansraj Behl Lyrics: Bharat Vyas, Shewan Rizvi",1950,,,
Bakhshish,"Brij Mohan, A. Jadhav","Bhagwan, Leela Gupte, Usha Shukla, Baburao, Inamdar",Action,Music: P. Ramakant Lyrics: Ehsan Rizvi,1950,,,
Banwra,G. Rakesh,"Raj Kapoor, Nimmi, Lalita Pawar, Hiralal, Lalita Pawar, K. N. Singh, Rattan Kumar, Sunder",Social,"Music: Krishna Dayal Lyrics: Gafil Harnalvi, Amar N. Khanna",1950,,,
Basera,Inayat,"Ramola, Hiralal, Veena Kumari, Roop Mala, Chanda, Bhudo Advani",Social,Music: M. A. Rauf Lyrics: Sardar Ilham,1950,,,
Bawre Nain,Kidar Sharma,"Raj Kapoor, Geeta Bali, Cuckoo, Vijayalaxmi, Jaswant, Pesi Patel, Majnu, Nazira",Romance,Music: Roshan Lyrics: Kidar Sharma,1950,,,
Bebus,,"Bharat Bhushan, Purnima, Chandrashekhar, Cuckoo, W. M. Khan",Social,"Music: Ganpat Rai Lyrics: Jalal Malihabadi, Salik Lakhnavi",1950,,,
Beqasoor,K. Amarnath,"Madhubala, Ajit, Yakub, Pramila, Geeta Nizami, Durga Khote, Gope",Family Drama,"Music: Anil Biswas Music: Ehsan Rizvi, Arzoo Lakhnavi",1950,,,
Bhagwan Shri Krishna,Raja Yagnik,"Shahu Modak, Usha Kiran, Sulochana Chatterjiee, David, Ishwarlal, Niranjan Sharma",Religious,Music: Shankar Rao Vyas Lyrics: Pandit Phani,1950,,,
Bhai Bahen,Ram Darayani,"Geeta Bali, Bharat Bhushan, Nirupa Roy, Prem Abid, Gope, Jeevan, Gulab, Cuckoo",Family Drama,"Music: Shyam Sundar Lyrics: Raja Mehdi Ali Khan, I. C. Kapoor",1950,,,
