Rank,Title,Cast,Director,Genre,Notes,Year,1966rank,1967rank,1968rank,Music,1969rank
1.0,Mughal-e-Azam,"Madhubala, Dilip Kumar",,,,1960,,,,,
2.0,Barsaat Ki Raat,"Madhubala, Bharat Bhushan",,,,1960,,,,,
3.0,Kohinoor,"Dilip Kumar, Meena Kumari",,,,1960,,,,,
4.0,Chaudhvin Ka Chand,"Guru Dutt, Waheeda Rehman",,,,1960,,,,,
5.0,Jis Desh Mein Ganga Behti Hai,"Raj Kapoor, Padmini",,,,1960,,,,,
6.0,Dil Apna Aur Preet Parayi,"Raaj Kumar, Meena Kumari",,,,1960,,,,,
7.0,Love in Simla,"Joy Mukherjee, Sadhana",,,,1960,,,,,
8.0,Ghunghat,"Bharat Bhushan, Pradeep Kumar, Asha Parekh, Bina Rai",,,,1960,,,,,
9.0,Kanoon,"Ashok Kumar, Rajendra Kumar, Nanda",,,,1960,,,,,
10.0,Kala Bazar,"Dev Anand, Waheeda Rehman",,,,1960,,,,,
,36 Chaugali Lane,,,,,1960,,,,,
,Aai Phirse Bahar,"Sivaji Ganesan, Padmini, Ragini, Raja Sulochana",A. Bhimsingh,Family Drama,Music by Vedpal Sharma. Dubbed in Hindi from Tamil,1960,,,,,
,Aanchal,"Ashok Kumar, Nanda, Lalita Pawar, Nirupa Roy",Vasant Joglekar,Family Drama,Nanda won the Filmfare Best Supporting Actress Award. Music: C. Ramchandra Lyrics: Vasant Joglekar.,1960,,,,,
,Abdulla,"Shakila, Mahipal, Hiralal, Ajit, Helen",Aakkoo,Fantasy Adventure,Music: Bulo C. Rani Lyrics: Shewan Rizvi,1960,,,,,
,Alam Ara Ki Beti,"Daljeet, Naina, Shashikala, Tun Tun",Nanubhai Vakil,Fantasy,"Music by Vipin Datta, lyrics by Noor Devasi, Anwar Farukhabadi",1960,,,,,
,Airmail,"Ranjan, Malini, Mirajkar",B. J. Patel,Action,Music: S. Kwatra Lyrics: Anand Bakshi,1960,,,,,
,Amar Prem,"Shivaji Ganesan, Savitri, B.M. Vyas",Ramanna,Drama,"Music: Sanmukh Babu. Lyrics: Vinod Sharma, Kavi Pradeep. Dubbed in Hindi from Tamil",1960,,,,,
,Angulimal,"Nimmi, Bharat Bhushan, Anita Guha, Prem Adib, Ulhas, Achala Sachdev, Manmohan Krishna, Helen",Vijay Bhatt,Adventure Drama,"Music: Anil Biswas, Lyrics: Bharat Vyas",1960,,,,,
,Anuradha,"Balraj Sahni, Leela Naidu, Abhi Bhattacharya, Ranu, Nazir Hussain, Mukri, Asit Sen, Bhudo Advani, Rashid Khan",Hrishikesh Mukherjee,Family Social,"Entered in the 11th Berlin International Film Festival, Music: Ravi Shankar Lyrics:Shailendra",1960,,,,,
