Title,Director,Cast,Genre,Sources,Year,Music Director,Opening,Opening.1
"Aadhi Haqeeqat, Aadha Fasana",Dilip Ghosh,,,,1990,,,
Aaj Ka Arjun,K.C. Bokadia,"Amitabh Bachchan, Jayapradha","Action, Drama",[3],1990,,,
Aag Ka Dariya,S.V. Rajendra Singh,"Dilip Kumar, Rekha, Padmini Kolhapure, Amrita Singh",Drama,,1990,,,
Aag Ka Gola,David Dhawan,"Sunny Deol, Dimple Kapadia, Archana Puran Singh",Action,[4],1990,,,
Aaj Ke Shahenshah,Shibu Mitra,"Raj Babbar, Jeetendra, Kimi Katkar",,,1990,,,
Aandhiyan,David Dhawan,"Shatrughan Sinha, Mumtaz, Prosenjit Chatterjee",,[5],1990,,,
Aashiqui,Mahesh Bhatt,"Rahul Roy, Anu Agarwal, Tom Alter","Romance, Drama",[6],1990,,,
Abu Kaliya,C.K. Kader,,,,1990,,,
Agneekaal,,"Sadashiv Amrapurkar, Tinnu Anand, Raj Babbar","Action, Crime, Drama",,1990,,,
Agneepath,Mukul S. Anand,"Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari, Danny Denzongpa, Biswa Roy",Action,,1990,,,
Amba,Mohan Kumar,"Shabana Azmi, Anil Kapoor, Meenakshi Sheshadri",Family,,1990,,,
Amiri Garibi,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor",Family,,1990,,,
Amavas Ki Raat,Mohan Bhakri,"Kunika, Kiran Kumar, Javed Khan",Horror,,1990,,,
Andher Gardi,Ashok Tyagi,Kimi Katkar,,,1990,,,
Apmaan Ki Aag,Talukdaars,"Adil Amaan, Rakesh Bedi, Dasharat","Action, Comedy, Crime",,1990,,,
Atishbaz,Mukhtar Ahmed[disambiguation needed],"Tom Alter, Renu Arya, Prem Chopra",,,1990,,,
Aulad Ki Khatir,Kanwar Jagdish,"Nutan, Shreepradha",,,1990,,,
Awaargi,Mahesh Bhatt,"Anil Kapoor, Govinda, Paresh Rawal, Meenakshi Sheshadri",Drama,[7],1990,,,
Awaaz De Kahan Hai,Sibte Hassan Rizvi,"Bindu, Annu Kapoor, Satyendra Kapoor",,,1990,,,
Awaragardi,Swaroop Kumar,"Kimi Katkar, Raza Murad, Aditya Pancholi",,,1990,,,
Awwal Number,Dev Anand,"Dev Anand, Aamir Khan, Ekta Sohini",Action,[8],1990,,,
Awaaz De Kahan Hai,Sibte Hasan Rizvi,"Bindu, Avinash Wadhawan, Shikha Swaroop",,,1990,,,
Azaad Desh Ke Gulam,S.A. Chandrashekhar,"Vikas Anand, Rakesh Bedi, Suresh Bhagwat, Pran","Action, Family",,1990,,,
