Title,Director,Cast,Genre,Music director,Year,Sources,Opening,Opening.1
Aaghaaz,Yogesh Ishwar,"Sunil Shetty, Sushmita Sen, Namrata Shirodkar",Thriller,Anu Malik,2000,,,
Aaj Ka Ravan,Imran Khalid,"Kasam Ali, Mithun Chakraborty",Drama,,2000,,,
Anjaane,Ravi Rai,"Raveena Tandon, Vivek Mushran",Romance,Rajesh Roshan,2000,,,
Anokha Moti,Anshul Singla,"Sanjay Sharma, Arjun Chakraborty, Nayab Aftab",Family,,2000,,,
Apradhi Kaun,Mohan Bhakri,"Ishrat Ali, Shagufta Ali",Thriller,,2000,,,
Astitva,Mahesh Manjrekar,"Tabu, Sachin Khedekar, Smita Jaykar, Mohnish Bahl","Drama, Social",,2000,,,
Baaghi,Rajesh Kumar Singh,"Sanjay Dutt, Manisha Koirala",Action,Sajid-Wajid,2000,,,
Badal,Raj Kanwar,"Bobby Deol, Rani Mukerji","Action, Drama",Anu Malik,2000,,,
Bas Yaari Rakho,Gopi Desai,"Pooja Batra, Seema Biswas","Comedy, Drama",,2000,,,
Bawandar,Jag Mundhra,"Nandita Das, Rahul Khanna",Drama,,2000,,,
Beti No.1,Rama Rao Tatineni,"Govinda, Rambha",Comedy,Viju Shah,2000,,,
Bhai Thakur,"Willy, Raja","Dharmendra, Shakti Kapoor, Upasna Singh",Action,,2000,,,
Bichhoo,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Malaika Arora",Action,Anand Raj Anand,2000,,,
Billa No. 786,Imran Khalid,Mithun Chakraborty,Action,Anand-Milind,2000,,,
Bulandi,Rama Rao Tatineni,"Rajinikanth, Rekha, Anil Kapoor, Raveena Tandon",Drama,Viju Shah,2000,,,
Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Twinkle Khanna, Sonali Bendre, Shakti Kapoor, Dalip Tahil",Comedy,Anand-Milind,2000,,,
Champion,Padam Kumar,"Sunny Deol, Manisha Koirala","Action, Drama",Anu Malik,2000,,,
Dahshat,Tulsi Ramsay,"Sarika, Navin Nischol",Horror,,2000,,,
Deewane,Harry Baweja,"Ajay Devgn, Urmila Matondkar, Mahima Chaudhry","Action, Romance",Sanjeev-Darshan,2000,,,
Dhai Akshar Prem Ke,Raj Kanwar,"Abhishek Bachchan, Aishwarya Rai","Romance, Drama",Jatin-Lalit,2000,,,
Dhadkan,Dharmesh Darshan,"Akshay Kumar, Sunil Shetty, Shilpa Shetty","Romance, Drama",Nadeem-Shravan,2000,,,
Dil Ki Dhadkan,,Rambha,,,2000,,,
Dil Pe Mat Le Yaar,Hansal Mehta,"Manoj Bajpai, Tabu",Drama,Vishal,2000,,,
Dr. Babasaheb Ambedkar,Jabbar Patel,"Mammootty, Sonali Kulkarni",,,2000,,,
Dr Mukta,,"Amar Babaria, Jaya Bachchan, Abhay Chandarana",,,2000,,,
Dulhan Hum Le Jayenge,David Dhawan,"Salman Khan, Karisma Kapoor","Comedy, Romance",Himesh Rashammiya,2000,,,
Fiza,Khalid Mohammed,"Jaya Bachchan, Karisma Kapoor, Hrithik Roshan","Drama, Family, Thriller",Anu Malik,2000,,,
Gaja Gamini,M. F. Hussain,"Madhuri Dixit, Shabana Azmi, Shilpa Shirodkar, Naseeruddin Shah, Shah Rukh Khan",Drama,,2000,,,
Gang,Mazhar Khan,"Juhi Chawla, Nana Patekar, Jackie Shroff",Crime,Anu Malik,2000,,,
Ghaath,Akashdeep,"Tabu, Manoj Bajpai, Arshad Warsi",Drama,Anu Malik,2000,,,
Hadh Kar Di Aapne,Manoj Agrawal,"Govinda, Rani Mukerji","Comedy, Romance",Anand Raj Anand,2000,,,
Hamara Dil Aapke Paas Hai,Satish Kaushik,"Anil Kapoor, Aishwarya Rai, Sonali Bendre",Drama,Sanjeev-Darshan,2000,,,
Har Dil Jo Pyar Karega,Raj Kanwar,"Salman Khan, Preity Zinta, Rani Mukerji, Shah Rukh Khan","Comedy, Drama, Romance",Anu Malik,2000,,,
Hari-Bhari,Shyam Benegal,"Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Surekha Sikri, Nandita Das",,,2000,,,
Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Tabu, Paresh Rawal",Comedy,Anu Malik,2000,,,
Hey Ram,Kamal Hassan,"Kamal Hassan, Shah Rukh Khan, Rani Mukerji, Vasundhara Das, Hema Malini, Girish Karnad, Om Puri",Drama,Ilaiyaraaja,2000,,,
Hum To Mohabbat Karega,Kundan Shah,"Bobby Deol, Karisma Kapoor","Action, Romance",Anu Malik,2000,,,
Jallad No. 1,Kanti Shah,Dharmendra,Drama,,2000,,,
Jis Desh Mein Ganga Rehta Hain,Mahesh Manjrekar,"Govinda, Sonali Bendre, Rinke Khanna, Shakti Kapoor",Drama,Anand Raj Anand,2000,,,
Joru Ka Ghulam,Shakeel Noorani,"Govinda, Twinkle Khanna",Drama,Aadesh Shrivastva,2000,,,
Josh,Mansoor Khan,"Shah Rukh Khan, Chandrachur Singh, Aishwarya Rai, Priya Gill, Sharad Kapoor","Action, Romance",Anu Malik,2000,,,
Jung,Sanjay Gupta,"Sanjay Dutt, Shilpa Shetty, Raveena Tandon, Jackie Shroff",Drama,Anu Malik,2000,,,
Jungle,Ram Gopal Verma,"Urmila Matondkar, Fardeen Khan, Sunil Shetty",Romance,Sandeep Chowta,2000,,,
Kabrastan,Ramesh U. Lakhiani,,Horror,,2000,,,
Kahin Pyaar Na Ho Jaaye,K. Muralimohana Rao,"Salman Khan, Rani Mukerji, Jackie Shroff, Raveena Tandon, Pooja Batra","Comedy, Romance",Himesh Reshammiya,2000,,,
Kaho Naa... Pyaar Hai,Rakesh Roshan,"Hrithik Roshan, Amisha Patel, Anupam Kher","Romance, Drama, Musical, Thriller",Rajesh Roshan,2000,,,
Kairee,Amol Palekar,"Atul Kulkarni, Yogita Deshmukh, Shilpa Navalkar",Drama,,2000,,,
Karobaar: The Business of Love,Rakesh Roshan,"Rishi Kapoor, Anil Kapoor, Juhi Chawla",Drama,Rajesh Roshan,2000,,,
Kharidaar,Papu Bahruz,"Kishore Anand Bhanushali, Mushtaq Khan, Anil Nagrath, Amit Pachori",,,2000,,,
Khauff,Sanjay Gupta,"Sanjay Dutt, Manisha Koirala, Simran Bagga",Drama,Anu Malik,2000,,,
Khiladi 420,Neeraj Vora,"Akshay Kumar, Mahima Chaudhry, Antara Mali","Action, Romance",Sanjeev-Darshan,2000,,,
Krodh,Ashok Honda,"Suniel Shetty, Rambha",Action,Anand-Milind,2000,,,
Kunwara,David Dhawan,"Govinda, Urmila Matondkar",Comedy,Aadesh Shrivastva,2000,,,
Kurukshetra,Mahesh Manjrekar,"Sanjay Dutt, Mahima Chaudhry","Action, Romance",Himesh Reshammiya,2000,,,
Kya Kehna,Kundan Shah,"Preity Zinta, Chandrachur Singh, Farida Jalal, Anupam Kher","Romance, Drama",Rajesh Roshan,2000,,,
Le Chal Apne Sang,Vijay Kondke,"Nishanth, Alok Nath, Beena Banerjee",Romance,,2000,,,
Lekroo,Shrabani Deodhar,"Sania Jhankar, Nimish Kathale, Sachin Khedekar, Mrinal Kulkarni",,,2000,,,
Mela,Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan, Aishwarya Rai, Johny Lever",Drama,Anu Malik,2000,,,
Meri Jung Ka Elaan,Kanti Shah,Dharmendra,Drama,,2000,,,
Mission Kashmir,Vidhu Vinod Chopra,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni","Drama, War, Thriller",Shankar-Ehsan-Loy,2000,,,
Mohabbatein,Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Aishwarya Rai, Uday Chopra, Shamita Shetty, Jugal Hansraj, Kim Sharma, Jimmy Sheirgill, Preeti Jhangiani","Drama, Romance, Musical, Family",Jatin Lalit,2000,,,
Nidaan,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Sunil Barve",Drama,,2000,,,
Pandavas: The Five Warriors,Usha Ganesh Raja,,Animation,Ilaiyaraaja,2000,,,
Papa the Great,K. Bhagyaraj,"Krishna Kumar, Nagma",Family,Nikhil-Vinay,2000,,,
Phir Bhi Dil Hai Hindustani,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Paresh Rawal, Johny Lever, Dalip Tahil, Satish Shah, Sharat Saxena","Comedy, Drama, Romance, Musical",Jatin Lalit,2000,,,
The Prince of Light,Yugo Sako,"Bryan Cranston, Edie Mirman, Tom Wyner, Richard Cansino",,,2000,,,
Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar",Drama,A. R. Rahman,2000,,,
Raja Ko Rani Se Pyar Ho Gaya,T.K. Rajeev Kumar,"Manisha Koirala, Arvind Swamy","Comedy, Musical",,2000,,,
Raju Chacha,Anil Devgan,"Ajay Devgn, Kajol, Rishi Kapoor, Sanjay Dutt",Comedy,Jatin Lalit,2000,,,
Refugee,J. P. Dutta,"Abhishek Bachchan, Kareena Kapoor, Sunil Shetty, Jackie Shroff, Anupam Kher","Drama, Romance",Anu Malik,2000,,,
The Revenge: Geeta Mera Naam,Dilip Gulati,"Birbal, Dharmendra, Jack Gaud, Ali Khan",,,2000,,,
Saanjh,Sabrina Dhawan,"Nandita Das, Sharda Desoares, Arjun Raina, Rahul Vohra",,,2000,,,
Second Generation,,,,,2000,,,
Shikaar,Bobby Raj,"Abhishek Kapoor, Vikas Bhalla, Ayesha Jhulka, Anupam Kher",,,2000,,,
Shikari,N. Chandra,"Govinda, Karishma Kapoor, Tabu","Thriller, Action, Romance",Aadesh Shrivastva,2000,,,
Snip!,Sunil Sippy,"Sohrab Ardeshir, Nikhil Chinappa, Makrand Deshpande, Vekeana Dhillon",,,2000,,,
Sultaan,,Vikas Anand,,,2000,,,
Tapish,Jay Prakash,"Tara Deshpande, Ellora Patnaik, Parvin Dabas, Gajendra Chouhan",,,2000,,,
Tarkieb,Esmayeel Shroff,"Milind Soman, Nana Patekar, Tabu, Shilpa Shetty","Suspense, Thriller",Aadesh Shrivastva,2000,,,
Tera Jadoo Chal Gayaa,A. Muthu,"Abhishek Bachchan, Kirti Reddy, Sanjay Suri",Romance,Ismail Darbar,2000,,,
Tere Liye,Sanjay Gadhvi,"Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal",,,2000,,,
Tune Mera Dil Le Liyaa,B.B. Bhalla,"Raveena Tandon, Naseeruddin Shah, Rahul Roy, Shakti Kapoor",,,2000,,,
