Opening,Opening.1,Title,Director,Cast,Studio,Year
JAN,1.0,Ghost Stories,Karan JoharDibakar BanerjeeZoya AkhtarAnurag Kashyap,Sobhita DhulipalaMrunal ThakurAvinash TiwaryJanhvi KapoorSurekha SikriRaghuvir YadavGulshan DevaiahVijay VarmaPavail GulatiJyoti SubhashEva Ameet PardeshiKitu GidwaniSumit Tandon,"RSVP Movies, Flying Unicorn Entertainment, Netflix",2020
JAN,3.0,Bhangra Paa Le,Sneha Taurani,Sunny KaushalRukshar DhillonShriya Pilgaonkar,RSVP Movies,2020
JAN,3.0,Sab Kushal Mangal,Karan Vishwanath Kashyap,Akshaye KhannaRiva KishanPriyank Sharma,One Up Entertainment,2020
JAN,3.0,Shimla Mirchi,Ramesh Sippy,Hema MaliniRajkummar RaoRakul Preet Singh,Viacom18 Motion Pictures,2020
JAN,10.0,Chhapaak,Meghna Gulzar,Deepika PadukoneVikrant Massey,"Fox Star Studios, Ka Productions, Mriga Films",2020
JAN,10.0,Tanhaji,Om Raut,Ajay DevgnSaif Ali KhanKajolSharad Kelkar,"Ajay Devgn FFilms, T-Series",2020
JAN,17.0,Bunker,Jugal Raja,Abhijeet SinghArindita Kalita,Wagging Tail Entertainment,2020
JAN,17.0,Jai Mummy Di,Navjot Gulati,Sunny SinghSonnalli SeygallPoonam DhillonSupriya Pathak,"Luv Films, T-Series",2020
JAN,24.0,Panga,Ashwiny Iyer Tiwari,Kangana RanautJassi GillRicha ChadhaNeena Gupta,Fox Star Studios,2020
JAN,24.0,Street Dancer 3D,Remo D'Souza,Varun DhawanShraddha KapoorPrabhu DevaNora FatehiAparshakti KhuranaMurali SharmaRaghav JuyalDharmesh YelandePunit PathakJigar RupareliyaSonam Bajwa,"T-Series, Remo D'Souza Entertainment",2020
JAN,31.0,Gul Makai,H.E. Amjad khan,Reem ShaikhAtul KulkarniDivya DuttaOm PuriArif ZakariaMukesh RishiAbhimanyu SinghPankaj Tripathi,Pen India Limited,2020
JAN,31.0,Happy Hardy and Heer,Raka,Himesh ReshammiyaSonia Mann,"HR Musik Limited, EYKA Films",2020
JAN,31.0,Jawaani Jaaneman,Nitin Kakkar,Saif Ali KhanTabuAlaya Furniturewala,Pooja Entertainment,2020
JAN,31.0,Pagleaazam,"Vikas P Kavvthekaar, Aps Raghuvanshi",Aditya Pratap SinghMandeep Kaur MannnatSonia SharmaLiliputFaruqueRavi MannAbhinaye SharmaSahil PatelAmber Upadhyay,Aps Entertainment,2020
FEB,4.0,Operation Parindey,Sanjay Gadhvi,Amit SadhRahul DevAakash DahiyaRucha Inamdar,"Final Coast, Fluence Studios, Roll Kamera Motion Pictures, ZEE5",2020
