Opening,Opening.1,Title,Director,Cast,Genre,Year,Source,Studio,Production house,Genres,Rating,Combined
JAN,8.0,dulha mil gaya,Muddassar Aziz,"Fardeen Khan, Ishita Sharma, Sushmita Sen, Shahrukh Khan, Tara Sharma, Anushka Manchanda, Mohit Chadda, Vivek Vaswani, Johnny Lever",Romantic Comedy,2010,,,,Comedy Drama Romance,4.2,muddassar aziz fardeen khan ishita sharma sushmita sen shahrukh khan tara sharma anushka manchanda mohit chadda vivek vaswani johnny lever comedy drama romance
JAN,8.0,pyaar impossible!,Jugal Hansraj,"Priyanka Chopra, Uday Chopra, Anupam Kher, Dino Morea",Romantic Comedy,2010,,,,Comedy Romance,4.6,jugal hansraj priyanka chopra uday chopra anupam kher dino morea comedy romance
JAN,15.0,chance pe dance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza",Romance] [Dance film|Dance,2010,,,,Comedy Drama Music,4.7,ken ghosh shahid kapoor genelia d' souza comedy drama music
JAN,15.0,hello! hum lallan bol rahe hain,Dileep Shukla,"Rajpal Yadav, Preeti Mehra",Comedy,2010,,,,Comedy Drama,6.3,dileep shukla rajpal yadav preeti mehra comedy drama
JAN,22.0,veer,Anil Sharma,"Salman Khan, Zarine Khan, Mithun Chakraborty, Sohail Khan, Jackie Shroff",Epic Film,2010,,,,Action Adventure Drama Romance,4.5,anil sharma salman khan zarine khan mithun chakraborty sohail khan jackie shroff action adventure drama romance
JAN,29.0,ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi","Black Comedy, Romance",2010,,,,Comedy Drama Romance Thriller,7.3,abhishek chaubey naseeruddin shah vidya balan arshad warsi comedy drama romance thriller
JAN,29.0,rann,Ram Gopal Varma,"Amitabh Bachchan, Sudeep, Ritesh Deshmukh, Paresh Rawal, Rajpal Yadav, Gul Panag, Rajat Kapoor, Suchitra Krishnamurthy, Neetu Chandra, Mohnish Behl",Drama Thriller,2010,,,,Drama Mystery Thriller,6.9,ram gopal varma amitabh bachchan sudeep ritesh deshmukh paresh rawal rajpal yadav gul panag rajat kapoor suchitra krishnamurthy neetu chandra mohnish behl drama mystery thriller
JAN,29.0,road to sangam,Amit Rai,"Paresh Rawal, Om Puri, Javed Sheikh",Drama,2010,,,,Drama,,amit rai paresh rawal om puri javed sheikh drama
FEB,5.0,the hangman,Vishal Bhandari,"Om Puri, Shreyas Talpade, Gulshan Grover, Smita Jaykar, Tom Alter, Anita Kanwar, Yatin Karyekar, Nazneen Ghaani, Amrita Bedi",Drama,2010,,,,Drama,,vishal bhandari om puri shreyas talpade gulshan grover smita jaykar tom alter anita kanwar yatin karyekar nazneen ghaani amrita bedi drama
FEB,5.0,striker,Chandan Arora,"Siddharth Narayan, Aditya Pancholi, Ankur Vikal, Anupam Kher, Seema Biswas",Action,2010,,,,Action Crime Drama,7.0,chandan arora siddharth narayan aditya pancholi ankur vikal anupam kher seema biswas action crime drama
FEB,12.0,my name is khan,Karan Johar,"Shahrukh Khan, Kajol, Jimmy Shergill",Drama,2010,,,,Drama,8.0,karan johar shahrukh khan kajol jimmy shergill drama
FEB,12.0,sukhmani: hope for life,Manjeet Mann,"Gurdas Maan, Juhi Chawla, Divya Dutta",Drama,2010,,,,Drama,,manjeet mann gurdas maan juhi chawla divya dutta drama
